no_below,no_above,k,vocab_size,total_tokens,mean_tokens_per_doc,median_tokens_per_doc,min_tokens_per_doc,max_tokens_per_doc,n_empty_docs,mean_c_v,mean_c_npmi,stability_js_similarity,mean_topic_diversity,mean_topic_redundancy_jaccard,mean_thin_topic_count_lt3,mean_zero_dominance_topic_count
4,0.7,15,2585,119396,1809.030303030303,1649.5,401,5616,0,0.4017305488561248,-0.06859158739819199,0.5079618304326621,0.6753333333333333,0.04171919381118851,3.4,0.0
4,0.75,5,2626,132509,2007.7121212121212,1837.5,433,6448,0,0.3667649005155331,-0.0466903986146317,0.6365394150743295,0.8099999999999999,0.061855659564637885,0.0,0.0
4,0.75,10,2626,132509,2007.7121212121212,1837.5,433,6448,0,0.38493111442221356,-0.05278475773467176,0.5620591190016204,0.72,0.049280234161555116,0.2,0.0
4,0.75,15,2626,132509,2007.7121212121212,1837.5,433,6448,0,0.4139469261649026,-0.04549842958659854,0.5329009662738782,0.6606666666666667,0.04454779957654792,2.8,0.0
4,0.8,5,2656,141057,2137.2272727272725,1959.5,482,6752,0,0.3357296716498531,-0.04829499777168343,0.6132286535666895,0.7899999999999999,0.07795317634326922,0.0,0.0
4,0.8,10,2656,141057,2137.2272727272725,1959.5,482,6752,0,0.3892768791046196,-0.03999362527618168,0.5460785651228421,0.725,0.05044943621860296,0.2,0.0
4,0.8,15,2656,141057,2137.2272727272725,1959.5,482,6752,0,0.4250766678215266,-0.029542551555980644,0.5251764621806541,0.6759999999999999,0.043572279308679136,3.2,0.2
4,0.85,5,2700,156789,2375.590909090909,2225.0,553,7283,0,0.34755296899343124,-0.02543389722330223,0.6421383236293119,0.766,0.08489047133009982,0.0,0.0
4,0.85,10,2700,156789,2375.590909090909,2225.0,553,7283,0,0.37053793577979227,-0.02332561179387152,0.561970449110895,0.6769999999999999,0.07184901115757669,0.8,0.0
4,0.85,15,2700,156789,2375.590909090909,2225.0,553,7283,0,0.40438734750248495,-0.01586719572913056,0.5360532910763441,0.6333333333333333,0.05932169125004154,4.4,0.0
4,0.9,5,2730,171941,2605.1666666666665,2503.5,627,7738,0,0.3342289128296456,-0.01917077097444495,0.6512018627332646,0.71,0.11381026972358241,0.0,0.0
4,0.9,10,2730,171941,2605.1666666666665,2503.5,627,7738,0,0.38313529153619885,-0.009138379000932426,0.5906259780369049,0.614,0.08954980364714378,0.6,0.0
4,0.9,15,2730,171941,2605.1666666666665,2503.5,627,7738,0,0.4098588049851804,-0.0007994835154752067,0.5630556294206779,0.588,0.07222736937250433,3.8,0.4
4,0.95,5,2754,186683,2828.530303030303,2669.5,686,8788,0,0.3547215917656215,-0.0063373949019358096,0.6821024791952623,0.7200000000000001,0.10028014199990631,0.0,0.0
