rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
39,39,53,S71;S66;S01;S03;S06;S07;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S29;S30;S32;S33;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S56;S57,0.5651865780314372,0.20023409535743253,0.46690325704689545
40,40,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S16;S18;S20;S21;S22;S24;S25;S61;S26;S27;S28;S29;S30;S32;S33;S34;S35;S36;S38;S39;S40;S43;S42;S45;S46;S62;S63;S47;S48;S49;S50;S52;S53;S55;S56;S58;S59,0.5234842351464014,0.1709360868450889,0.44149935153793096
41,41,53,S71;S66;S70;S65;S01;S02;S05;S06;S07;S08;S09;S11;S13;S14;S15;S16;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S32;S33;S34;S35;S38;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S49;S51;S64;S52;S53;S54;S55;S56;S57;S59;S60,0.48263298049817904,0.12184711960194672,0.3943938559806345
42,42,53,S71;S66;S70;S65;S01;S02;S03;S06;S08;S09;S10;S11;S12;S13;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S29;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S45;S63;S47;S48;S49;S50;S51;S64;S53;S54;S55;S56;S58;S59;S60,0.5151282724613819,0.25643247928064566,0.4815438050147993
43,43,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S14;S15;S16;S17;S18;S19;S21;S22;S23;S24;S25;S61;S26;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S40;S43;S45;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S55;S56;S57;S58;S59,0.5041164405453596,0.10652881553295283,0.3578848924155886
44,44,53,S71;S66;S65;S01;S03;S05;S06;S07;S08;S09;S10;S12;S13;S15;S16;S17;S18;S19;S20;S22;S23;S24;S61;S26;S27;S28;S29;S30;S31;S33;S34;S38;S39;S40;S41;S43;S42;S45;S62;S63;S47;S48;S49;S50;S51;S64;S52;S54;S55;S56;S57;S58;S59,0.5049676055047926,0.1769864608354581,0.43443194829771753
45,45,53,S71;S66;S70;S65;S01;S02;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S29;S31;S32;S33;S36;S38;S39;S40;S41;S43;S42;S45;S46;S62;S47;S49;S50;S51;S52;S53;S55;S57;S58;S60,0.5194904539808971,0.2468479957600626,0.49533620017634994
46,46,53,S66;S70;S65;S01;S02;S05;S06;S07;S08;S09;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S26;S27;S29;S30;S31;S32;S33;S34;S35;S38;S39;S43;S44;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.4958792937013542,0.13567561085847638,0.3803902415565566
47,47,53,S71;S66;S70;S65;S01;S03;S05;S06;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S29;S30;S31;S32;S33;S35;S36;S38;S40;S43;S42;S45;S46;S62;S63;S47;S49;S51;S52;S53;S54;S55;S57;S59;S60,0.5128239607521277,0.19079235339750286,0.47273021285359446
48,48,53,S71;S66;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S16;S18;S20;S22;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S53;S55;S56;S57,0.5672770500140376,0.33201180717259765,0.5995846924465628
