no_below,no_above,k,vocab_size,total_tokens,mean_tokens_per_doc,median_tokens_per_doc,min_tokens_per_doc,max_tokens_per_doc,n_empty_docs,mean_c_v,mean_c_npmi,stability_js_similarity,mean_topic_diversity,mean_topic_redundancy_jaccard,mean_thin_topic_count_lt3,mean_zero_dominance_topic_count
2,0.75,15,1088,12587,190.71212121212122,107.0,37,3393,0,0.38225439722414745,-0.10472331325444584,0.5163007149202696,0.5293333333333333,0.12218671392075289,5.6,0.6
2,0.8,5,1091,13153,199.28787878787878,113.5,41,3543,0,0.4326197955476284,-0.04571405077502369,0.6332949005112909,0.61,0.21991393059294442,1.0,0.0
2,0.8,10,1091,13153,199.28787878787878,113.5,41,3543,0,0.4171352441214295,-0.06259566344748922,0.5641695192465244,0.531,0.17022584416218883,3.0,0.6
2,0.8,15,1091,13153,199.28787878787878,113.5,41,3543,0,0.41059800223333304,-0.07428891371638227,0.55337149344444,0.4693333333333333,0.15492590101291517,5.8,2.0
2,0.85,5,1091,13153,199.28787878787878,113.5,41,3543,0,0.4326197955476284,-0.04571405077502369,0.6332949005112909,0.61,0.21991393059294442,1.0,0.0
2,0.85,10,1091,13153,199.28787878787878,113.5,41,3543,0,0.4171352441214295,-0.06259566344748922,0.5641695192465244,0.531,0.17022584416218883,3.0,0.6
2,0.85,15,1091,13153,199.28787878787878,113.5,41,3543,0,0.41059800223333304,-0.07428891371638227,0.55337149344444,0.4693333333333333,0.15492590101291517,5.8,2.0
2,0.9,5,1091,13153,199.28787878787878,113.5,41,3543,0,0.4326197955476284,-0.04571405077502369,0.6332949005112909,0.61,0.21991393059294442,1.0,0.0
2,0.9,10,1091,13153,199.28787878787878,113.5,41,3543,0,0.4171352441214295,-0.06259566344748922,0.5641695192465244,0.531,0.17022584416218883,3.0,0.6
2,0.9,15,1091,13153,199.28787878787878,113.5,41,3543,0,0.41059800223333304,-0.07428891371638227,0.55337149344444,0.4693333333333333,0.15492590101291517,5.8,2.0
2,0.95,5,1092,13797,209.04545454545453,118.5,44,3729,0,0.468519980278721,-0.030361370413522715,0.6509521870724685,0.5559999999999999,0.2684130767091366,1.0,0.2
2,0.95,10,1092,13797,209.04545454545453,118.5,44,3729,0,0.4225540435692535,-0.060391998730521146,0.5355566940251705,0.496,0.20610056283922096,2.8,0.4
2,0.95,15,1092,13797,209.04545454545453,118.5,44,3729,0,0.4418959743380741,-0.07139410469549853,0.5344086460036086,0.4640000000000001,0.17814556726553604,7.4,1.8
2,1.0,5,1092,13797,209.04545454545453,118.5,44,3729,0,0.468519980278721,-0.030361370413522715,0.6509521870724685,0.5559999999999999,0.2684130767091366,1.0,0.2
2,1.0,10,1092,13797,209.04545454545453,118.5,44,3729,0,0.4225540435692535,-0.060391998730521146,0.5355566940251705,0.496,0.20610056283922096,2.8,0.4
2,1.0,15,1092,13797,209.04545454545453,118.5,44,3729,0,0.4418959743380741,-0.07139410469549853,0.5344086460036086,0.4640000000000001,0.17814556726553604,7.4,1.8
3,0.5,5,716,9914,150.21212121212122,84.5,32,2600,0,0.3548508438669937,-0.13857126624662458,0.6288901157126668,0.768,0.08399425967537422,0.6,0.0
3,0.5,10,716,9914,150.21212121212122,84.5,32,2600,0,0.3728181037386021,-0.15156176927763215,0.5152778431811813,0.6519999999999999,0.06967357236707082,1.4,0.2
3,0.5,15,716,9914,150.21212121212122,84.5,32,2600,0,0.36434804249059294,-0.15215534048931198,0.5095893124958885,0.59,0.06466127907111771,4.4,0.8
3,0.6,5,719,10343,156.71212121212122,87.5,32,2779,0,0.3805026697571893,-0.10824048624861518,0.6051625999098555,0.726,0.11440010449298373,0.2,0.0
3,0.6,10,719,10343,156.71212121212122,87.5,32,2779,0,0.3688412879547525,-0.13345322003200155,0.5441404567333398,0.621,0.0913780839167836,1.8,0.0
3,0.6,15,719,10343,156.71212121212122,87.5,32,2779,0,0.3744098840396266,-0.14920756804401017,0.50062838114127,0.5726666666666667,0.07338720280781316,4.6,0.2
3,0.7,5,723,10890,165.0,92.5,32,2865,0,0.41196511432023997,-0.05940758526923183,0.6481173759605268,0.678,0.15164918557158644,0.6,0.0
3,0.7,10,723,10890,165.0,92.5,32,2865,0,0.4006652130909871,-0.09091594746352252,0.5424020487574128,0.567,0.13516896010264592,1.8,0.4
3,0.7,15,723,10890,165.0,92.5,32,2865,0,0.393090785530661,-0.1004365166967999,0.5111554403149523,0.54,0.11068420584894509,5.2,0.8
3,0.75,5,725,11363,172.16666666666666,100.0,32,2986,0,0.4023583591820487,-0.06205656549302874,0.6293163755121898,0.634,0.19805539021447993,0.2,0.0
3,0.75,10,725,11363,172.16666666666666,100.0,32,2986,0,0.4059932087928425,-0.06831056915027335,0.5561806258370534,0.548,0.14921968799494684,2.6,0.2
