rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
39,39,53,S71;S66;S01;S03;S06;S07;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S29;S30;S32;S33;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S56;S57,0.5827757634832958,0.0907794041523181,0.1840729193314348
40,40,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S16;S18;S20;S21;S22;S24;S25;S61;S26;S27;S28;S29;S30;S32;S33;S34;S35;S36;S38;S39;S40;S43;S42;S45;S46;S62;S63;S47;S48;S49;S50;S52;S53;S55;S56;S58;S59,0.5699698455507721,0.20528391346964828,0.28613220195220285
41,41,53,S71;S66;S70;S65;S01;S02;S05;S06;S07;S08;S09;S11;S13;S14;S15;S16;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S32;S33;S34;S35;S38;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S49;S51;S64;S52;S53;S54;S55;S56;S57;S59;S60,0.6085758619613237,0.08230628235241594,0.15911844661086932
42,42,53,S71;S66;S70;S65;S01;S02;S03;S06;S08;S09;S10;S11;S12;S13;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S29;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S45;S63;S47;S48;S49;S50;S51;S64;S53;S54;S55;S56;S58;S59;S60,0.6164671054398156,0.23511168744050698,0.36294466888408317
43,43,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S14;S15;S16;S17;S18;S19;S21;S22;S23;S24;S25;S61;S26;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S40;S43;S45;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S55;S56;S57;S58;S59,0.6008815662999654,0.23373048131542593,0.28254915763645294
44,44,53,S71;S66;S65;S01;S03;S05;S06;S07;S08;S09;S10;S12;S13;S15;S16;S17;S18;S19;S20;S22;S23;S24;S61;S26;S27;S28;S29;S30;S31;S33;S34;S38;S39;S40;S41;S43;S42;S45;S62;S63;S47;S48;S49;S50;S51;S64;S52;S54;S55;S56;S57;S58;S59,0.5884620395411414,0.059236373677264496,0.18028095370700986
45,45,53,S71;S66;S70;S65;S01;S02;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S29;S31;S32;S33;S36;S38;S39;S40;S41;S43;S42;S45;S46;S62;S47;S49;S50;S51;S52;S53;S55;S57;S58;S60,0.5487143658016993,0.043444033005802254,0.1854552230688545
46,46,53,S66;S70;S65;S01;S02;S05;S06;S07;S08;S09;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S26;S27;S29;S30;S31;S32;S33;S34;S35;S38;S39;S43;S44;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.6581686800347675,0.11877343298926377,0.21075398234098247
47,47,53,S71;S66;S70;S65;S01;S03;S05;S06;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S29;S30;S31;S32;S33;S35;S36;S38;S40;S43;S42;S45;S46;S62;S63;S47;S49;S51;S52;S53;S54;S55;S57;S59;S60,0.6258575335502615,0.23627520135275626,0.31885221349191734
48,48,53,S71;S66;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S16;S18;S20;S22;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S53;S55;S56;S57,0.6007925466448039,0.18297926553492372,0.2799839341257364
49,49,53,S66;S70;S65;S03;S05;S06;S07;S08;S09;S10;S11;S12;S13;S15;S16;S17;S18;S19;S21;S22;S23;S25;S26;S27;S28;S29;S30;S31;S32;S33;S35;S36;S38;S39;S41;S43;S44;S45;S46;S63;S47;S48;S49;S50;S64;S52;S54;S55;S56;S57;S58;S59;S60,0.6015494695896753,0.09633473968586284,0.18629551005185946
50,50,53,S71;S65;S01;S02;S03;S06;S07;S08;S10;S11;S12;S13;S16;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S30;S31;S32;S34;S35;S36;S38;S39;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S51;S64;S52;S53;S56;S57;S58;S59;S60,0.6283944879711789,0.2477952644264852,0.3441008564094844
51,51,53,S71;S66;S70;S65;S02;S03;S05;S06;S09;S12;S13;S14;S15;S17;S18;S19;S20;S21;S22;S23;S61;S26;S27;S28;S30;S31;S32;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S58;S59,0.5048481979227786,0.07758434403773407,0.20695622546972609
52,52,53,S71;S66;S70;S01;S02;S03;S05;S06;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S28;S31;S32;S33;S35;S38;S39;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S64;S53;S54;S55;S56;S57;S58;S60,0.6611849553595848,0.29182988449568387,0.35614525930126834
53,53,53,S66;S70;S65;S01;S02;S05;S06;S08;S10;S11;S12;S13;S14;S15;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S29;S30;S31;S32;S34;S35;S36;S38;S39;S40;S43;S42;S44;S45;S62;S63;S47;S48;S49;S50;S51;S64;S53;S54;S55;S56;S57;S58;S59,0.5667924073151824,0.09626540198780631,0.17298654819096984
54,54,53,S71;S70;S65;S01;S02;S03;S05;S06;S07;S09;S10;S11;S12;S14;S15;S16;S19;S20;S21;S22;S23;S24;S61;S27;S28;S29;S30;S31;S32;S33;S34;S35;S40;S41;S43;S42;S44;S45;S63;S47;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.49522161903178213,0.1674003183273253,0.2513628433779575
55,55,53,S71;S70;S65;S01;S02;S03;S05;S07;S08;S09;S11;S12;S14;S17;S18;S19;S20;S21;S22;S23;S25;S26;S27;S28;S29;S31;S32;S33;S34;S35;S36;S38;S39;S40;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S51;S53;S54;S55;S56;S57;S58;S59;S60,0.5867500616657592,0.06958933467805478,0.17367601826985005
56,56,53,S71;S66;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S18;S19;S20;S21;S22;S24;S25;S61;S27;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S42;S44;S45;S46;S62;S63;S48;S49;S51;S64;S53;S54;S55;S56;S57;S59;S60,0.6177525790921164,0.06413005200834625,0.18246503559556665
57,57,53,S71;S66;S70;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S14;S15;S16;S18;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S62;S48;S49;S50;S64;S52;S53;S54;S55;S56;S57;S59,0.5892722282171923,0.05017542986537935,0.1463695956069909
58,58,53,S71;S70;S65;S01;S02;S03;S05;S06;S09;S10;S11;S12;S14;S15;S16;S17;S19;S20;S21;S22;S23;S24;S61;S26;S27;S28;S29;S31;S32;S34;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S64;S52;S55;S57;S58;S59;S60,0.5046979861752909,0.1557484820090421,0.1958117993176526
59,59,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S14;S16;S17;S18;S19;S21;S22;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S44;S45;S46;S62;S48;S49;S50;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.6242588222808748,0.1748388307323096,0.2660108030241367
60,60,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S22;S23;S24;S61;S26;S27;S29;S30;S32;S33;S34;S36;S38;S39;S40;S41;S43;S44;S46;S62;S63;S47;S48;S50;S51;S64;S56;S57;S58;S59;S60,0.5842666671445744,0.06359400579272131,0.16032897279772004
61,61,53,S71;S66;S01;S02;S05;S06;S07;S08;S09;S11;S12;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S28;S29;S30;S31;S32;S36;S38;S39;S40;S43;S42;S44;S45;S46;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5794296548907488,0.14063805427483986,0.22451241238987163
62,62,53,S71;S66;S70;S65;S02;S03;S05;S06;S07;S08;S09;S11;S12;S14;S15;S17;S18;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S34;S35;S36;S38;S40;S41;S44;S45;S46;S62;S48;S49;S50;S51;S64;S52;S53;S55;S57;S58;S59;S60,0.5569708506703637,0.12040250838559137,0.19139723354917798
63,63,53,S71;S66;S70;S65;S01;S02;S03;S06;S08;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S27;S28;S29;S30;S31;S32;S34;S35;S36;S38;S40;S43;S42;S44;S45;S46;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S56;S58;S59;S60,0.6395716679581183,0.22244756339472843,0.31025020768946315
64,64,53,S71;S66;S70;S01;S02;S03;S06;S07;S09;S10;S11;S12;S13;S14;S15;S17;S21;S22;S23;S24;S61;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5112771499826829,0.12931831956362244,0.2800060650570023
65,65,53,S71;S66;S70;S01;S05;S06;S08;S09;S10;S12;S13;S14;S16;S17;S18;S19;S20;S21;S25;S61;S26;S27;S29;S30;S31;S32;S33;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S58;S59,0.6346930874556672,0.08684271561578477,0.12866530099337928
66,66,53,S71;S66;S70;S01;S02;S03;S05;S06;S07;S08;S09;S12;S13;S14;S16;S17;S18;S19;S20;S21;S22;S23;S24;S61;S26;S27;S28;S29;S30;S32;S34;S35;S36;S38;S39;S40;S41;S43;S42;S45;S46;S62;S63;S48;S49;S50;S51;S54;S55;S56;S57;S58;S60,0.5726489208585156,0.1695945556549476,0.2739703692702189
67,67,53,S71;S66;S70;S02;S03;S05;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S33;S34;S35;S36;S39;S40;S41;S43;S42;S44;S62;S47;S48;S49;S64;S53;S54;S56;S57;S58;S59;S60,0.6399101984248442,0.09552629315612933,0.16895101252220612
68,68,53,S71;S70;S65;S01;S02;S03;S05;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S23;S24;S25;S61;S27;S29;S30;S31;S32;S33;S34;S35;S38;S39;S41;S43;S44;S45;S46;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S56;S57;S59;S60,0.6151170868755559,0.03501641472456966,0.1598114750315785
69,69,53,S71;S66;S70;S65;S01;S03;S06;S07;S09;S10;S11;S12;S16;S17;S18;S19;S20;S21;S23;S24;S25;S61;S26;S27;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S44;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S56;S57;S59;S60,0.5311928048417809,0.19054997311423774,0.27058796226778264
70,70,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S09;S10;S11;S12;S13;S14;S15;S16;S18;S20;S21;S22;S23;S24;S61;S26;S28;S29;S32;S33;S34;S35;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S64;S52;S53;S54;S55;S56;S57;S59;S60,0.4785370835204733,0.18803064517295145,0.2536684426683267
71,71,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S14;S16;S17;S18;S19;S20;S21;S22;S24;S25;S61;S26;S27;S29;S30;S31;S33;S35;S39;S41;S43;S42;S45;S46;S62;S63;S47;S48;S49;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.589248578154073,0.059300775681729825,0.15711752773355908
